term,coef_sbv,coef_synthdrive,pct_diff
C(annual_miles_band)[T.Q2],0.037707,0.059203,57.01
C(annual_miles_band)[T.Q3],0.203459,0.119917,-41.06
C(annual_miles_band)[T.Q4],0.215345,0.221014,2.63
C(annual_pct_driven_band)[T.Q2],1.362953,1.175737,-13.74
C(annual_pct_driven_band)[T.Q3],1.900524,1.807186,-4.91
C(annual_pct_driven_band)[T.Q4],2.351839,2.759075,17.32
C(annual_pct_driven_band)[T.Q5],2.795611,3.914256,40.01
C(car_age_band)[T.Q2],-0.127485,-0.17536,-37.55
C(car_age_band)[T.Q3],-0.324211,-0.290518,10.39
C(car_age_band)[T.Q4],-0.415731,-0.43422,-4.45
C(car_age_band)[T.Q5],-0.699141,-0.584959,16.33
C(car_use)[T.Commute],-0.231083,-0.486939,-110.72
C(car_use)[T.Farmer],-0.808297,-1.094951,-35.46
C(car_use)[T.Private],-0.23759,-0.496707,-109.06
C(credit_score_band)[T.Q2],-0.319979,-0.514604,-60.82
C(credit_score_band)[T.Q3],-0.691509,-0.600689,13.13
C(credit_score_band)[T.Q4],-0.785861,-0.720738,8.29
C(credit_score_band)[T.Q5],-0.839023,-0.789441,5.91
C(insured_age_band)[T.Q2],-0.092424,-0.232805,-151.89
C(insured_age_band)[T.Q3],0.023686,-0.282129,-1291.13
C(insured_age_band)[T.Q4],-0.007019,-0.363038,-5072.38
C(insured_age_band)[T.Q5],-0.048408,-0.272539,-463.0
C(insured_sex)[T.Male],0.037489,0.082103,119.01
C(marital_status)[T.Single],0.046357,0.08617,85.88
C(territory_band)[T.Q2],-0.084799,0.048516,157.21
C(territory_band)[T.Q3],0.03835,0.01756,-54.21
C(territory_band)[T.Q4],-0.016795,0.110651,758.83
C(territory_band)[T.Q5],-0.179041,0.197215,210.15
Intercept,-4.160312,-4.532578,-8.95
